iteration,avg_reward,win_rate,opp_loss,opp_acc
0,-1.0301034153081843,0.47265625,0.0,0.0
1,-0.39552185370053644,0.490234375,0.0,0.0
2,0.824957763101885,0.525390625,0.0,0.0
3,-0.1696029744522224,0.50390625,0.0,0.0
4,2.103902044861181,0.564453125,0.0,0.0
5,-0.5225631024614629,0.505859375,0.0,0.0
6,-0.384055782062946,0.50390625,0.0,0.0
7,0.8893242498118206,0.54296875,0.0,0.0
8,0.16792596597427953,0.50390625,0.0,0.0
9,0.026795943720078118,0.5078125,0.0,0.0
10,0.11115320091615348,0.515625,0.0,0.0
11,1.016540209584212,0.552734375,0.0,0.0
12,1.587021640916039,0.5703125,0.0,0.0
13,1.6632807873687439,0.5703125,0.0,0.0
14,0.526481647261036,0.537109375,0.0,0.0
15,0.28042971394918564,0.529296875,0.0,0.0
16,-0.530599584986429,0.490234375,0.0,0.0
17,-0.6632060027844386,0.4921875,0.0,0.0
18,0.9542887352102075,0.55859375,0.0,0.0
19,-1.584120862190782,0.470703125,0.0,0.0
20,1.7970773828546682,0.55078125,0.0,0.0
21,0.9188774901946988,0.556640625,0.0,0.0
22,1.0532107291328323,0.5390625,0.0,0.0
23,0.20788920118566795,0.521484375,0.0,0.0
24,-1.2229575810234325,0.474609375,0.0,0.0
25,-1.2356958133000644,0.470703125,0.0,0.0
26,2.5153661102763727,0.58984375,0.0,0.0
27,0.5334139978685049,0.515625,0.0,0.0
28,1.4888050567044764,0.5390625,0.0,0.0
29,-0.4894718171413596,0.490234375,0.0,0.0
30,0.8345403904120521,0.53515625,0.0,0.0
31,-1.0865435265184313,0.48046875,0.0,0.0
32,0.6580033951439479,0.51171875,0.0,0.0
33,-0.5725746461888368,0.50390625,0.0,0.0
34,2.0266268096811393,0.572265625,0.0,0.0
35,0.7491919752551388,0.509765625,0.0,0.0
36,0.8573242648585446,0.53125,0.0,0.0
37,2.428927321900516,0.61328125,0.0,0.0
38,0.19600988176098394,0.5234375,0.0,0.0
39,0.34706717248567137,0.505859375,0.0,0.0
40,-0.8918055454537008,0.478515625,0.0,0.0
41,0.03738484699915791,0.47265625,0.0,0.0
42,1.3316393128746526,0.529296875,0.0,0.0
43,0.1892284330783039,0.513671875,0.0,0.0
44,0.4888852271188951,0.525390625,0.0,0.0
45,0.0762972400273065,0.494140625,0.0,0.0
46,-0.18896357482241363,0.505859375,0.0,0.0
47,2.1730474282992907,0.56640625,0.0,0.0
48,0.3518087061736686,0.53125,0.0,0.0
49,0.20486875109873556,0.5234375,0.0,0.0
50,-0.08777077590502103,0.49609375,0.0,0.0
51,-1.160058597901208,0.46875,0.0,0.0
52,1.2105565702942593,0.564453125,0.0,0.0
53,-0.2524523905231016,0.50390625,0.0,0.0
54,-0.7039149941013284,0.48828125,0.0,0.0
55,1.2799706022776223,0.55859375,0.0,0.0
56,0.4969714083378026,0.533203125,0.0,0.0
57,0.48623001569969443,0.517578125,0.0,0.0
58,-1.0700033877938473,0.474609375,0.0,0.0
59,0.9714824515683594,0.54296875,0.0,0.0
60,1.107064710176241,0.52734375,0.0,0.0
61,0.3632785792434732,0.509765625,0.0,0.0
62,-0.451612348625135,0.50390625,0.0,0.0
63,1.4526119496228223,0.5546875,0.0,0.0
64,0.42758423736852064,0.509765625,0.0,0.0
65,0.1622778368479787,0.509765625,0.0,0.0
66,2.1768161990400596,0.591796875,0.0,0.0
67,1.699595422794892,0.568359375,0.0,0.0
68,2.051783093429909,0.58984375,0.0,0.0
69,2.768442210985994,0.623046875,0.0,0.0
70,0.32799375660661945,0.515625,0.0,0.0
71,-0.7489116403290846,0.4921875,0.0,0.0
72,1.602900249408541,0.5625,0.0,0.0
73,1.8011654445821483,0.5625,0.0,0.0
74,-0.07812113227939371,0.521484375,0.0,0.0
75,0.022260190765879873,0.505859375,0.0,0.0
76,0.7817309794076345,0.5390625,0.0,0.0
77,1.419122845470635,0.56640625,0.0,0.0
78,1.3262659200492222,0.55078125,0.0,0.0
79,-1.1568589205193054,0.490234375,0.0,0.0
