iteration,avg_reward,win_rate,opp_loss,opp_acc
0,0.7681422577953125,0.65625,0.0,0.0
1,2.107008971109625,0.875,0.0,0.0
2,1.7804840442,0.8046875,0.0,0.0
3,2.242336681740813,0.90625,0.0,0.0
4,1.867718642970313,0.8828125,0.0,0.0
5,1.2116207367515626,0.859375,0.0,0.0
6,2.0634934502921873,0.8828125,0.0,0.0
7,2.0119654476749993,0.9140625,0.0,0.0
8,2.577584634248624,0.9375,0.0,0.0
9,1.4499908767488097,0.7890625,0.0,0.0
10,2.3183047840624997,0.9296875,0.0,0.0
11,2.5012824552079684,0.9140625,0.0,0.0
12,2.138809441754874,0.90625,0.0,0.0
13,2.6901053218265627,0.9375,0.0,0.0
14,2.4332806190736567,0.890625,0.0,0.0
15,2.5795114763656253,0.953125,0.0,0.0
16,2.2242176440422337,0.921875,0.0,0.0
17,3.0665936951676565,0.96875,0.0,0.0
18,3.202834938483219,0.96875,0.0,0.0
19,2.421126385440843,0.8984375,0.0,0.0
