iteration,avg_reward,win_rate,opp_loss,opp_acc
0,0.5139963293750002,0.515625,0.0,0.0
1,0.4839885721984375,0.65625,0.0,0.0
2,1.9717761757828123,0.9140625,0.0,0.0
3,2.316969280834531,0.8515625,0.0,0.0
4,2.2385738172220444,0.90625,0.0,0.0
5,2.548547816692188,0.9375,0.0,0.0
6,3.2223792142072303,0.921875,0.0,0.0
7,2.219908732326561,0.9375,0.0,0.0
8,2.5542849062550155,0.9375,0.0,0.0
9,3.2578215337349037,0.9375,0.0,0.0
10,1.961417914770279,0.90625,0.0,0.0
11,3.053737318958528,0.96875,0.0,0.0
12,2.1475422752499673,0.8984375,0.0,0.0
13,3.057965714592902,0.921875,0.0,0.0
14,3.3166380171382155,0.96875,0.0,0.0
15,2.66747332547989,0.9375,0.0,0.0
16,3.31867004358853,0.953125,0.0,0.0
17,2.710387202363763,0.859375,0.0,0.0
18,2.870009193837467,0.9375,0.0,0.0
19,2.669453829468749,0.9375,0.0,0.0
